id,age,sexe,taux,situationFamiliale,nbEnfantsAcharge,seconde_voiture,immatriculation
15,58,M,215,En Couple,3,true,8216 GR 23
29,20,M,478,En Couple,3,true,4395 AS 40
43,51,M,557,En Couple,0,true,3484 AH 69
44,27,M,198,En Couple,4,true,9629 ZS 93
49,69,M,1170,En Couple,1,true,9721 LN 29
52,69,M,404,En Couple,3,true,699 OU 38
56,74,F,484,En Couple,2,true,4800 WC 72
58,20,M,506,En Couple,3,true,6241 OH 14
71,26,F,1258,En Couple,2,true,8781 ZN 53
72,37,M,194,En Couple,0,true,7833 QR 67
81,32,F,412,En Couple,0,true,9725 CK 92
88,19,M,176,En Couple,0,true,1703 IH 38
100,26,M,1022,En Couple,0,true,792 GN 90
101,25,M,158,En Couple,0,true,6371 LH 74
103,38,M,1330,En Couple,3,true,8479 FO 37
106,68,M,238,En Couple,1,true,8468 QR 34
107,48,M,1332,En Couple,2,true,9053 PH 49
124,62,M,174,En Couple,1,true,2239 TU 93
129,37,F,449,En Couple,0,true,3146 VN 37
135,55,M,174,En Couple,4,true,6089 YD 23
155,81,F,195,En Couple,2,true,4953 OT 22
171,27,M,458,En Couple,4,true,2017 ZT 38
200,82,M,537,En Couple,1,true,5641 CZ 65
207,63,F,719,En Couple,0,true,3354 DY 95
210,54,M,594,En Couple,0,true,6758 PS 94
232,18,M,150,En Couple,4,true,859 CX 74
236,56,M,543,En Couple,2,true,7558 RS 97
238,82,M,1397,En Couple,1,true,650 WG 92
241,35,M,504,En Couple,1,true,5220 RC 44
242,27,F,792,En Couple,3,true,8573 ZR 27
243,57,M,540,En Couple,3,true,5805 RD 25
244,64,M,589,En Couple,1,true,7517 FG 65
250,24,M,594,En Couple,4,true,244 GC 23
251,38,F,985,En Couple,1,true,8433 OB 38
288,18,M,870,En Couple,2,true,3163 GP 24
291,83,M,176,En Couple,2,true,2510 GL 25
294,33,M,1343,En Couple,1,true,8586 DJ 19
310,72,F,850,En Couple,2,true,117 BQ 72
311,25,M,179,En Couple,4,true,7051 OM 43
330,83,M,1146,En Couple,2,true,5732 NU 76
340,22,F,928,En Couple,0,true,8029 SA 37
343,84,M,185,En Couple,0,true,2077 EB 26
345,38,M,528,En Couple,2,true,258 ZA 26
347,32,M,1064,En Couple,0,true,70 FW 56
352,52,M,495,En Couple,2,true,5049 RI 65
363,71,M,520,En Couple,3,true,792 KL 15
399,55,M,585,En Couple,4,true,6446 EY 91
403,40,M,496,En Couple,0,true,4618 VY 42
416,67,F,573,En Couple,4,true,4969 HA 94
425,68,M,416,En Couple,4,true,8398 AE 48
431,31,M,473,En Couple,4,true,239 CB 21
437,48,M,1145,En Couple,4,true,2993 GU 74
453,55,F,564,En Couple,4,true,9853 HG 72
455,38,M,481,En Couple,0,true,2134 QL 31
480,34,F,472,En Couple,4,true,4299 UF 43
485,52,F,497,En Couple,0,true,7537 MU 35
487,40,M,426,En Couple,3,true,7310 QA 10
493,39,F,855,En Couple,0,true,7451 EI 49
518,43,M,463,En Couple,0,true,49 BP 36
520,53,M,923,En Couple,2,true,6782 AV 38
529,53,F,523,En Couple,4,true,7643 HL 28
530,67,M,480,En Couple,4,true,9171 YP 38
536,84,M,747,En Couple,3,true,2879 DL 54
543,45,M,512,En Couple,0,true,6894 DH 25
547,25,F,412,En Couple,1,true,7296 PY 54
570,83,M,171,En Couple,3,true,6167 XC 55
571,30,M,460,En Couple,0,true,6854 XW 81
574,22,M,195,En Couple,1,true,7969 EG 24
576,60,F,442,En Couple,3,true,2298 CQ 82
578,61,M,512,En Couple,1,true,2281 NZ 77
585,44,M,459,En Couple,0,true,930 XS 25
608,28,M,186,En Couple,0,true,933 XI 91
622,19,M,1335,En Couple,3,true,6397 ZM 18
623,58,F,188,En Couple,0,true,7400 JX 47
627,80,M,857,En Couple,4,true,6530 EU 54
630,58,M,829,En Couple,0,true,3230 AJ 22
633,23,M,208,En Couple,0,true,9822 XJ 85
638,37,M,215,En Couple,2,true,6903 LJ 56
651,54,M,863,En Couple,0,true,1112 AG 34
