Age,Taux,Enfants à charge,seconde_voiture
44,476,0,false
20,422,2,false
49,221,0,false
57,246,0,false
58,1149,0,false
36,228,4,false
27,587,0,false
82,404,0,false
53,530,0,false
73,547,2,false
59,473,1,false
46,1223,0,false
36,242,4,false
19,402,2,false
58,215,3,true
34,1326,3,false
24,564,4,false
23,1362,0,false
50,539,1,false
28,528,4,false
25,226,2,false
50,425,0,false
33,246,0,false
19,483,0,false
56,513,0,false
45,1199,2,false
53,1256,0,false
82,947,0,false
20,478,3,true
19,406,0,false
46,1348,0,false
31,441,3,false
56,1258,0,false
38,429,0,false
18,411,0,false
39,429,2,false
56,1042,3,false
26,422,2,false
31,963,2,false
80,466,2,false
40,1348,3,false
29,193,0,false
51,557,0,true
27,198,4,true
30,532,0,false
59,169,0,false
36,760,4,false
53,419,1,false
69,1170,1,true
38,491,2,false
27,1347,3,false
69,404,3,true
32,448,2,false
47,408,0,false
19,524,0,false
74,484,2,true
53,1299,0,false
20,506,3,true
39,1358,2,false
48,583,4,false
39,547,2,false
21,512,0,false
26,168,0,false
75,573,3,false
18,532,2,false
67,187,4,false
27,1021,4,false
73,177,2,false
37,519,2,false
35,531,0,false
26,1258,2,true
37,194,0,true
22,734,1,false
76,197,0,false
27,540,3,false
24,561,3,false
24,560,0,false
19,188,2,false
43,189,0,false
84,414,0,false
32,412,0,true
23,770,0,false
43,563,0,false
57,167,1,false
57,401,0,false
36,885,0,false
21,494,1,false
19,176,0,true
29,539,2,false
46,970,0,false
31,573,0,false
18,746,0,false
28,469,0,false
47,1206,0,false
29,190,2,false
81,1049,1,false
33,506,2,false
25,587,0,false
38,1026,0,false
26,1022,0,true
25,158,0,true
81,595,1,false
38,1330,3,true
42,0,2,false
26, ,0,false
68,238,1,true
48,1332,2,true
30,1113,0,false
33,813,0,false
18,519,2,false
19,419,0,false
44,849,0,false
21,510,0,false
31,1087,0,false
54,460,4,false
61,465,0,false
39,1122,0,false
30,1298,0,false
84,224,0,false
61,498,4,false
25,946,0,false
56,742,1,false
52,421,1,false
62,174,1,true
23,971,0,false
70,1132,1,false
84,461,2,false
46,407,1,false
37,449,0,true
34,187,2,false
52,413,0,false
18,406,0,false
21,574,0,false
41,922,2,false
55,174,4,true
72,572,2,false
26,565,1,false
63,432,0,false
43,1176,0,false
39,905,0,false
39,960,2,false
44,242,0,false
48,230,2,false
52,1316,0,false
51,191,0,false
55,1231,0,false
68,462,0,false
82,594,0,false
24,708,0,false
45,567,3,false
55,919,2,false
49,503,0,false
34,1072,1,false
19,502,0,false
81,195,2,true
64,510,0,false
52,466,0,false
83,1275,1,false
26,588,1,false
41,493,0,false
56,223,1,false
55,972,3,false
55,574,0,false
23,461,0,false
45,524,0,false
80,538,4,false
57,409,2,false
52,178,0,false
45,442,0,false
19,503,1,false
27,458,4,true
44,178,1,false
43,541,0,false
63,598,0,false
28,469,1,false
18,240,3,false
82,497,0,false
79,1003,1,false
57,519,2,false
24,552,0,false
21,548,4,false
79,168,2,false
42,433,0,false
53,233,4,false
58,1237,3,false
67,546,1,false
54,1067,2,false
33,577,2,false
50,1177,2,false
40,510,0,false
67,565,2,false
78,172,2,false
38,1320,0,false
40,1006,4,false
41,925,1,false
24,595,0,false
55,248,0,false
43,478,3,false
49,433,2,false
82,537,1,true
19,587,0,false
31,999,0,false
27,763,0,false
24,1007,4,false
35,181,1,false
48,402,4,false
63,719,0,true
22,577,0,false
48,417,3,false
54,594,0,true
43,521,0,false
21,472,3,false
24,206,0,false
20,160,0,false
46,474,0,false
83,761,0,false
27,536,0,false
74,1272,2,false
66,193,0,false
83,1242,3,false
52,1311,0,false
76,400,1,false
68,568,0,false
48,1022,0,false
38,217,0,false
49,562,4,false
84,1138,0,false
64,1361,2,false
47,539,2,false
24,219,1,false
29,1046,0,false
18,150,4,true
51,228,4,false
44,532,0,false
63,426,0,false
56,543,2,true
28,447,0,false
82,1397,1,true
27,1155,2,false
23,1295,2,false
35,504,1,true
27,792,3,true
57,540,3,true
64,589,1,true
55,1199,0,false
38,190,1,false
47,432,0,false
80,508,2,false
27,575,1,false
24,594,4,true
38,985,1,true
52,909,3,false
18,182,0,false
22,532,1,false
24,753,0,false
29,186,0,false
19,243,0,false
41,478,0,false
23,1009,2,false
34,1381,0,false
70,588,1,false
73,906,1,false
29,531,1,false
50,446,1,false
26,1094,0,false
77,1259,2,false
38,1379,0,false
23,157,0,false
25,473,0,false
42,402,1,false
54,439,0,false
25,215,2,false
51,225,0,false
54,427,0,false
-1,510,1,false
52,572,4,false
82,590,3,false
57,1324,4,false
34,239,1,false
24,249,0,false
35,1248,3,false
52,580,2,false
56,485,0,false
39,198,3,false
32,418,4,false
81,170,4,false
31,214,2,false
18,870,2,true
51,873,2,false
50,484,1,false
83,176,2,true
73,562,2,false
41,1289,0,false
33,1343,1,true
53,509,3,false
55,181,4,false
38,1073,0,false
31,405,2,false
19,513,0,false
82,941,0,false
26,583,0,false
63,468,0,false
32,408,0,false
56,216,2,false
73,541,0,false
56,1097,1,false
28,543,0,false
41,182,0,false
50,1068,2,false
72,850,2,true
25,179,4,true
56,557,2,false
50,538,2,false
27,458,0,false
69,439,0,false
39,236,0,false
22,425,0,false
54,1312,0,false
20,890,1,false
72,215,1,false
52,487,0,false
48,244,0,false
18,1052,0,false
42,1331,2,false
69,561,0,false
71,567,0,false
35,424,0,false
32,476,0,false
45,516,2,false
83,1146,2,true
79,212,1,false
49,553,0,false
27,518,0,false
47,577,2,false
18,1341,0,false
18,1078,0,false
21,428,3,false
49,541,0,false
22,240,0,false
22,928,0,true
20,154,2,false
77,414,0,false
84,185,0,true
39,1076,1,false
38,528,2,true
39,1185,1,false
32,1064,0,true
47,1044,1,false
23,234,0,false
70,552,2,false
0,578,2,false
52,495,2,true
22,561,0,false
82,158,4,false
21,1223,0,false
52,1120,1,false
31,578,0,false
27,206,2,false
23,237,0,false
53,1089,4,false
75,500,0,false
38,226,0,false
71,520,3,true
19,208,2,false
67,514,2,false
47,150,0,false
