Age,Taux,Enfants,secondeVoiture
44,476,0,0
20,422,2,0
49,221,0,0
57,246,0,0
58,1149,0,0
36,228,4,0
27,587,0,0
82,404,0,0
53,530,0,0
73,547,2,0
59,473,1,0
46,1223,0,0
36,242,4,0
19,402,2,0
58,215,3,1
34,1326,3,0
24,564,4,0
23,1362,0,0
50,539,1,0
28,528,4,0
25,226,2,0
50,425,0,0
33,246,0,0
19,483,0,0
56,513,0,0
45,1199,2,0
53,1256,0,0
82,947,0,0
20,478,3,1
19,406,0,0
46,1348,0,0
31,441,3,0
56,1258,0,0
38,429,0,0
18,411,0,0
39,429,2,0
56,1042,3,0
26,422,2,0
31,963,2,0
80,466,2,0
40,1348,3,0
29,193,0,0
51,557,0,1
27,198,4,1
30,532,0,0
59,169,0,0
36,760,4,0
53,419,1,0
69,1170,1,1
38,491,2,0
27,1347,3,0
69,404,3,1
32,448,2,0
47,408,0,0
19,524,0,0
74,484,2,1
53,1299,0,0
20,506,3,1
39,1358,2,0
48,583,4,0
39,547,2,0
21,512,0,0
26,168,0,0
75,573,3,0
18,532,2,0
67,187,4,0
27,1021,4,0
73,177,2,0
37,519,2,0
35,531,0,0
26,1258,2,1
37,194,0,1
22,734,1,0
76,197,0,0
27,540,3,0
24,561,3,0
24,560,0,0
19,188,2,0
43,189,0,0
84,414,0,0
32,412,0,1
23,770,0,0
43,563,0,0
57,167,1,0
57,401,0,0
36,885,0,0
21,494,1,0
19,176,0,1
29,539,2,0
46,970,0,0
31,573,0,0
18,746,0,0
28,469,0,0
47,1206,0,0
29,190,2,0
81,1049,1,0
33,506,2,0
25,587,0,0
38,1026,0,0
26,1022,0,1
25,158,0,1
81,595,1,0
38,1330,3,1
42,0,2,0
26, ,0,0
68,238,1,1
48,1332,2,1
30,1113,0,0
33,813,0,0
18,519,2,0
19,419,0,0
44,849,0,0
21,510,0,0
31,1087,0,0
54,460,4,0
61,465,0,0
39,1122,0,0
30,1298,0,0
84,224,0,0
61,498,4,0
25,946,0,0
56,742,1,0
52,421,1,0
62,174,1,1
23,971,0,0
70,1132,1,0
84,461,2,0
46,407,1,0
37,449,0,1
34,187,2,0
52,413,0,0
18,406,0,0
21,574,0,0
41,922,2,0
55,174,4,1
72,572,2,0
26,565,1,0
63,432,0,0
43,1176,0,0
39,905,0,0
39,960,2,0
44,242,0,0
48,230,2,0
52,1316,0,0
51,191,0,0
55,1231,0,0
68,462,0,0
82,594,0,0
24,708,0,0
45,567,3,0
55,919,2,0
49,503,0,0
34,1072,1,0
19,502,0,0
81,195,2,1
64,510,0,0
52,466,0,0
83,1275,1,0
26,588,1,0
41,493,0,0
56,223,1,0
55,972,3,0
55,574,0,0
23,461,0,0
45,524,0,0
80,538,4,0
57,409,2,0
52,178,0,0
45,442,0,0
19,503,1,0
27,458,4,1
44,178,1,0
43,541,0,0
63,598,0,0
28,469,1,0
18,240,3,0
82,497,0,0
79,1003,1,0
57,519,2,0
24,552,0,0
21,548,4,0
79,168,2,0
42,433,0,0
53,233,4,0
58,1237,3,0
67,546,1,0
54,1067,2,0
33,577,2,0
50,1177,2,0
40,510,0,0
67,565,2,0
78,172,2,0
38,1320,0,0
40,1006,4,0
41,925,1,0
24,595,0,0
55,248,0,0
43,478,3,0
49,433,2,0
82,537,1,1
19,587,0,0
31,999,0,0
27,763,0,0
24,1007,4,0
35,181,1,0
48,402,4,0
63,719,0,1
22,577,0,0
48,417,3,0
54,594,0,1
43,521,0,0
21,472,3,0
24,206,0,0
20,160,0,0
46,474,0,0
83,761,0,0
27,536,0,0
74,1272,2,0
66,193,0,0
83,1242,3,0
52,1311,0,0
76,400,1,0
68,568,0,0
48,1022,0,0
38,217,0,0
49,562,4,0
84,1138,0,0
64,1361,2,0
47,539,2,0
24,219,1,0
29,1046,0,0
18,150,4,1
51,228,4,0
44,532,0,0
63,426,0,0
56,543,2,1
28,447,0,0
82,1397,1,1
27,1155,2,0
23,1295,2,0
35,504,1,1
27,792,3,1
57,540,3,1
64,589,1,1
55,1199,0,0
38,190,1,0
