age,sexe,taux,situationFamiliale,nbEnfantsAcharge,seconde_voiture,immatriculation
1,58,M,215,En Couple,3,true,8216 GR 23
2,20,Homme,478,En Couple,3,true,4395 AS 40
3,51,M,557,En Couple,0,true,3484 AH 69
4,27,M,198,En Couple,4,true,9629 ZS 93
5,69,M,404,En Couple,3,true,699 OU 38
6,74,F,484,En Couple,2,true,4800 WC 72
7,20,M,506,En Couple,3,true,6241 OH 14
8,26,F,1258,En Couple,2,true,8781 ZN 53
9,37,M,194,En Couple,0,true,7833 QR 67
10,32,F,412,En Couple,0,true,9725 CK 92
11,19,M,176,En Couple,0,true,1703 IH 38
12,26,M,1022,En Couple,0,true,792 GN 90
13,25,M,158,En Couple,0,true,6371 LH 74
14,38,M,1330,En Couple,3,true,8479 FO 37
15,68,M,238,En Couple,1,true,8468 QR 34
16,48,M,1332,En Couple,2,true,9053 PH 49
17,62,M,174,En Couple,1,true,2239 TU 93
18,55,M,174,En Couple,4,true,6089 YD 23
38,81,F,195,En Couple,2,true,4953 OT 22
54,27,M,458,En Couple,4,true,2017 ZT 38
83,82,M,537,En Couple,1,true,5641 CZ 65
90,63,F,719,En Couple,0,true,3354 DY 95
93,54,M,594,En Couple,0,true,6758 PS 94
115,18,M,150,En Couple,4,true,859 CX 74
119,56,M,543,En Couple,2,true,7558 RS 97
121,82,M,1397,En Couple,1,true,650 WG 92
124,35,M,504,En Couple,1,true,5220 RC 44
125,27,F,792,En Couple,3,true,8573 ZR 27
126,57,M,540,En Couple,3,true,5805 RD 25
127,64,M,589,En Couple,1,true,7517 FG 65
133,24,M,594,En Couple,4,true,244 GC 23
134,38,F,985,En Couple,1,true,8433 OB 38
171,18,M,870,En Couple,2,true,3163 GP 24
174,83,M,176,En Couple,2,true,2510 GL 25
177,33,M,1343,En Couple,1,true,8586 DJ 19
193,72,F,850,En Couple,2,true,117 BQ 72
194,25,M,179,En Couple,4,true,7051 OM 43
213,83,M,1146,En Couple,2,true,5732 NU 76
223,22,F,928,En Couple,0,true,8029 SA 37
226,84,M,185,En Couple,0,true,2077 EB 26
228,38,M,528,En Couple,2,true,258 ZA 26
230,32,M,1064,En Couple,0,true,70 FW 56
235,52,M,495,En Couple,2,true,5049 RI 65
246,71,M,520,En Couple,3,true,792 KL 15
282,55,M,585,En Couple,4,true,6446 EY 91
286,40,M,496,En Couple,0,true,4618 VY 42
299,67,F,573,En Couple,4,true,4969 HA 94
308,68,M,416,En Couple,4,true,8398 AE 48
314,31,M,473,En Couple,4,true,239 CB 21
320,48,M,1145,En Couple,4,true,2993 GU 74
336,55,F,564,En Couple,4,true,9853 HG 72
338,38,M,481,En Couple,0,true,2134 QL 31
363,34,F,472,En Couple,4,true,4299 UF 43
368,52,F,497,En Couple,0,true,7537 MU 35
370,40,M,426,En Couple,3,true,7310 QA 10
376,39,F,855,En Couple,0,true,7451 EI 49
401,43,M,463,En Couple,0,true,49 BP 36
403,53,M,923,En Couple,2,true,6782 AV 38
412,53,F,523,En Couple,4,true,7643 HL 28
413,67,M,480,En Couple,4,true,9171 YP 38
419,84,M,747,En Couple,3,true,2879 DL 54
426,45,M,512,En Couple,0,true,6894 DH 25
430,25,F,412,En Couple,1,true,7296 PY 54
453,83,M,171,En Couple,3,true,6167 XC 55
454,30,M,460,En Couple,0,true,6854 XW 81
457,22,M,195,En Couple,1,true,7969 EG 24
459,60,F,442,En Couple,3,true,2298 CQ 82
461,61,M,512,En Couple,1,true,2281 NZ 77
468,44,M,459,En Couple,0,true,930 XS 25
491,28,M,186,En Couple,0,true,933 XI 91
505,19,M,1335,En Couple,3,true,6397 ZM 18
506,58,F,188,En Couple,0,true,7400 JX 47
510,80,M,857,En Couple,4,true,6530 EU 54
513,58,M,829,En Couple,0,true,3230 AJ 22
516,23,M,208,En Couple,0,true,9822 XJ 85
521,37,M,215,En Couple,2,true,6903 LJ 56
534,54,M,863,En Couple,0,true,1112 AG 34
536,40,F,978,En Couple,2,true,3261 QB 72
542,78,M,414,En Couple,1,true,1753 MH 84
548,24,M,571,En Couple,2,true,825 WR 51
550,53,M,218,En Couple,3,true,2410 BZ 75
559,19,M,1006,En Couple,4,true,1729 XU 77
561,47,M,756,En Couple,1,true,519 RK 68
571,74,M,975,En Couple,1,true,817 ZW 78
573,59,F,593,En Couple,3,true,3380 AN 97
604,50,M,464,En Couple,2,true,7139 SG 83
608,35,M,418,En Couple,1,true,2168 JW 77
613,73,M,1104,En Couple,1,true,2427 YI 90
615,28,F,778,En Couple,1,true,6588 WI 41
617,49,M,481,En Couple,4,true,3347 WP 55
618,79,M,593,En Couple,3,true,3322 ZF 10
637,80,F,1112,En Couple,1,true,7026 WW 10
640,50,M,593,En Couple,0,true,1452 YA 68
645,26,M,1062,En Couple,3,true,7547 LH 66
648,51,M,225,En Couple,0,true,2994 XM 27
659,36,M,220,En Couple,1,true,2863 PH 67
665,84,M,409,En Couple,4,true,2243 QH 21
668,22,F,521,En Couple,2,true,5242 CP 27
670,67,M,912,En Couple,0,true,2749 OV 70
672,67,M,481,En Couple,3,true,4153 ID 62
684,72,M,1200,En Couple,2,true,9435 WX 22
694,33,M,1362,En Couple,2,true,9859 TY 42
702,24,F,172,En Couple,1,true,3695 ME 73
706,59,Homme,945,En Couple,3,true,8659 SD 39
708,25,F,409,En Couple,1,true,9364 DB 98
710,33,M,885,En Couple,1,true,4106 VG 39
713,47,F,586,En Couple,3,true,7268 CD 47
716,27,F,578,En Couple,0,true,9007 TL 42
724,39,Masculin,222,En Couple,3,true,5992 UR 79
738,42,M,470,En Couple,1,true,5740 AS 13
739,52,M,558,En Couple,0,true,3175 EI 79
745,40,M,1122,En Couple,3,true,811 AH 34
766,44,M,474,En Couple,4,true,1661 BF 66
773,31,M,1126,En Couple,1,true,6812 RI 70
785,36,M,1395,En Couple,0,true,5976 EY 97
788,42,M,436,En Couple,1,true,4887 RB 41
791,26,M,732,En Couple,3,true,9451 MC 76
800,18,M,554,En Couple,3,true,3984 FJ 92
809,51,M,152,En Couple,3,true,7818 UM 83
811,76,F,1053,En Couple,4,true,7425 PM 41
817,19,M,755,En Couple,2,true,1336 EI 97
828,29,M,421,En Couple,1,true,6375 ZU 73
831,21,M,1178,En Couple,2,true,9662 KJ 60
840,34,M,419,En Couple,4,true,5346 DQ 27
867,75,F,1009,En Couple,2,true,7913 YR 69
872,21,M,549,En Couple,0,true,7992 PN 42
899,44,M,1351,En Couple,2,true,5551 JF 28
905,24,F,763,En Couple,0,true,3732 HG 81
910,27,F,1375,En Couple,3,true,2032 QT 22
937,76,M,526,En Couple,1,true,7102 GR 20
940,25,M,749,En Couple,3,true,2764 PB 49
942,25,M,168,En Couple,2,true,7010 WQ 22
949,40,F,1215,En Couple,3,true,8383 DB 89
957,80,M,464,En Couple,0,true,1236 CD 33
958,80,Homme,479,En Couple,0,true,3187 OB 66
964,44,M,501,En Couple,1,true,1928 JC 16
965,47,M,406,En Couple,4,true,4542 KB 54
968,32,M,536,En Couple,4,true,5021 VB 68
971,27,M,228,En Couple,4,true,7194 RC 73
985,20,M,433,En Couple,4,true,3701 JN 71
997,61,M,497,En Couple,4,true,1170 VV 29
1004,41,M,419,En Couple,1,true,9365 ZA 81
1012,44,M,530,En Couple,4,true,2717 SV 13
1024,38,M,539,En Couple,0,true,8629 VO 37
1028,37,M,491,En Couple,0,true,8358 KZ 74
1031,41,M,788,En Couple,3,true,7165 SG 79
1045,23,F,772,En Couple,2,true,7918 YV 81
1047,24,F,563,En Couple,2,true,2797 WI 81
1053,34,F,440,En Couple,1,true,7555 GN 63
1057,35,M,173,En Couple,0,true,5431 SH 24
1059,24,M,529,En Couple,2,true,4802 OE 91
1075,43,M,465,En Couple,1,true,5580 LR 98
1079,32,M,484,En Couple,0,true,3777 FB 97
1080,26,M,434,En Couple,1,true,9663 FR 67
1090,45,M,479,En Couple,0,true,2056 EY 90
1092,57,M,422,En Couple,1,true,2022 SG 92
1103,30,M,459,En Couple,4,true,875 NA 88
1105,59,F,441,En Couple,2,true,4301 PW 89
1106,57,F,488,En Couple,2,true,8943 NP 21
1131,69,M,191,En Couple,2,true,7519 DZ 84
1132,43,M,925,En Couple,3,true,8398 FP 58
1133,76,M,1238,En Couple,2,true,2175 GH 32
1135,67,M,1354,En Couple,1,true,2620 XV 26
1154,46,F,439,En Couple,0,true,8272 CY 65
1159,57,M,413,En Couple,2,true,2001 GY 89
1161,20,M,178,En Couple,2,true,6240 HD 28
1181,30,M,598,En Couple,4,true,3294 RH 81
1185,21,M,1268,En Couple,1,true,394 LM 58
1186,67,M,546,En Couple,0,true,9937 PK 93
1194,44,M,1318,En Couple,1,true,4440 RK 75
1197,78,N/D,226,En Couple,3,true,8750 TR 92
1203,76,M,411,En Couple,1,true,7843 TW 36
1217,47,M,560,En Couple,2,true,3072 TH 33
1219,34,M,473,En Couple,2,true,5442 YV 42
1222,38,N/D,179,En Couple,0,true,8243 SV 98
1227,26,F,498,En Couple,2,true,2929 BU 94
1241,22,F,181,En Couple,1,true,75 JQ 33
1242,78,M,189,En Couple,3,true,3681 UJ 16
1244,18,M,201,En Couple,1,true,4305 OR 67
1246,54,M,545,En Couple,2,true,2472 ZP 78
1247,43,M,869,En Couple,0,true,1846 BT 61
1252,80,M,199,En Couple,0,true,3363 OD 75
1264,47,M,761,En Couple,0,true,3179 ZO 14
1265,53,F,894,En Couple,4,true,106 WL 15
1267,23,M,578,En Couple,2,true,3753 DV 64
1269,21,M,248,En Couple,3,true,7026 UL 39
1289,25,F,449,En Couple,0,true,7034 RT 33
1305,23,F,792,En Couple,3,true,682 FI 82
1315,51,M,475,En Couple,1,true,2213 LL 59
1334,55,M,1195,En Couple,0,true,717 QO 12
1335,60,M,557,En Couple,3,true,3479 BZ 24
1362,53,F,454,En Couple,3,true,1725 QX 36
1363,41,F,791,En Couple,1,true,7238 GG 71
1368,19,F,402,En Couple,0,true,7035 CJ 67
1398,18,M,591,En Couple,3,true,9594 LW 77
1404,34,F,540,En Couple,3,true,715 VB 81
1410,43,M,230,En Couple,4,true,4836 NF 14
1413,48,F,427,En Couple,4,true,348 BS 68
1416,50,F,185,En Couple,2,true,8544 RC 57
1419,39,M,585,En Couple,4,true,356 VQ 37
1427,22,M,543,En Couple,1,true,2049 RO 90
1433,62,M,1323,En Couple,1,true,2972 MY 30
1442,33,M,485,En Couple,0,true,8489 QM 24
1443,61,F,206,En Couple,2,true,3931 MP 76
1448,28,M,1044,En Couple,1,true,3166 ZC 55
1455,53,M,452,En Couple,2,true,8276 IG 57
1457,63,M,209,En Couple,1,true,4270 UM 24
1471,71,F,1339,Marié(e),3,true,114 WT 51
1473,49,F,1035,En Couple,1,true,4019 CL 89
1495,51,M,1290,En Couple,3,true,6824 BZ 84
1520,54,M,1109,En Couple,2,true,9340 MD 10
1522,35,M,453,En Couple,4,true,8202 CX 29
1525,56,M,501,En Couple,0,true,827 NT 26
1529,83,M,1186,En Couple,1,true,2692 PG 42
1543,60,M,221,En Couple,4,true,732 ZM 14
1545,73,M,1065,En Couple,2,true,5317 XM 98
1553,20,M,486,En Couple,0,true,1006 BG 75
1556,71,M,423,En Couple,2,true,6129 RP 62
1563,68,M,224,En Couple,2,true,9156 VQ 94
1576,42,M,569,En Couple,0,true,7487 FD 48
1577,49,M,561,En Couple,3,true,7289 SX 65
1580,40,M,568,En Couple,2,true,5411 UH 80
1583,82,M,955,En Couple,3,true,2771 QO 78
1597,26,F,779,En Couple,1,true,9677 CH 61
1603,44,M,214,En Couple,0,true,7577 MB 75
1614,43,M,1194,En Couple,4,true,8422 DG 92
1619,24,F,482,En Couple,1,true,4671 HT 47
1626,58,F,1299,En Couple,3,true,3571 KW 95
1628,54,M,486,En Couple,0,true,9631 UX 18
1641,29,M,1026,En Couple,2,true,3970 KU 15
1642,43,M,414,En Couple,1,true,189 WZ 62
1648,28,F,589,En Couple,2,true,9385 RT 50
1653,24,M,1325,En Couple,1,true,3668 AJ 26
1663,23,M,563,En Couple,0,true,6708 SV 29
1664,19,M,187,En Couple,2,true,4826 MB 90
1670,62,M,441,En Couple,2,true,7979 QT 62
1674,31,F,1282,En Couple,2,true,1063 NM 44
1676,29,F,211,En Couple,2,true,7363 CW 81
1679,50,M,526,En Couple,3,true,9983 AA 62
1689,66,M,516,En Couple,3,true,2538 KZ 55
1693,29,M,571,En Couple,0,true,3450 MA 60
1694,24,F,501,En Couple,3,true,8874 QP 36
1697,52,M,831,En Couple,0,true,5400 FM 85
1700,33,M,542,En Couple,1,true,2462 JU 89
1704,44,F,1391,En Couple,0,true,4839 RT 16
1707,36,M,591,En Couple,3,true,4691 LJ 95
1718,37,M,785,En Couple,0,true,9516 ZA 45
1720,31,M,572,En Couple,1,true,6638 VS 83
1732,18,F,589,En Couple,3,true,1364 BM 71
1743,75,M,708,En Couple,2,true,8500 EK 21
1758,47,M,591,En Couple,0,true,7239 RV 69
1760,46,M,576,Marié(e), ,true,3178 OM 97
1764,43,F,192,En Couple,1,true,6115 JO 41
1771,80,Féminin,521,En Couple,3,true,1633 XZ 59
1780,30,F,541,En Couple,4,true,11 YZ 55
1790,37,F,510,En Couple,4,true,7738 NN 74
1798,38,M,936,En Couple,3,true,2061 BE 73
1801,47,M,1065,En Couple,1,true,7105 LV 74
1812,21,F,1145,En Couple,4,true,5759 TL 36
1814,55,M,868,En Couple,1,true,9983 CE 30
1842,27,F,1255,En Couple,1,true,2305 LZ 65
1845,48, ,528,En Couple,0,true,4152 ED 42
1847,61,M,491,En Couple,1,true,5682 PC 37
1854,83,F,436,En Couple,4,true,5098 XO 25
1863,77,F,530,En Couple,1,true,9436 OR 50
1865,24,M,156,En Couple,3,true,2881 GR 24
1879,32,M,1183,En Couple,4,true,7971 TB 19
1893,61,F,478,En Couple,2,true,8111 ZM 39
1897,38,F,564,En Couple,0,true,9242 EJ 11
1898,46,F,213,En Couple,1,true,7422 AF 47
1907,23,F,521,En Couple,0,true,4661 ZB 92
1908,22,M,1074,En Couple,0,true,8060 JB 32
1910,29,F,175,En Couple,3,true,5999 WC 57
1911,26,F,151,En Couple,2,true,9812 KR 17
1914,32,M,1056,En Couple,4,true,9164 DG 35
1917,71,F,226,En Couple,4,true,1445 US 52
1927,32,M,935,En Couple,2,true,575 ML 71
1931,25,M,998,En Couple,0,true,1556 XS 78
1938,18,M,1393,En Couple,1,true,1345 VC 71
1939,25,M,852,En Couple,4,true,1187 GM 47
1942,53,M,937,En Couple,4,true,666 US 24
1960,55,M,208,En Couple,4,true,4736 DW 27
1971,32,M,564,En Couple,0,true,9490 TM 16
1972,27,M,232,En Couple,1,true,3312 NF 33
1978,34,M,155,En Couple,0,true,5418 ZJ 45
1981,29,F, ,En Couple,2,true,3788 OV 29
1983,29,F,523,En Couple,4,true,4255 QG 55
1984,45,Masculin,488,En Couple,4,true,7736 KS 46
1985,22,F,1098,En Couple,3,true,3976 IJ 26
1990,19,F,502,En Couple,3,true,864 XX 87
1992,58,M,434,En Couple,2,true,7919 KW 93
1993,24,F,730,En Couple,4,true,6679 QA 22
1997,19,M,1216,En Couple,3,true,1586 MZ 15
2000,27,M,729,En Couple,0,true,4082 FE 66
2001,33,F,546,En Couple,3,true,9602 MW 40
2009,25,M,484,En Couple,2,true,5884 TA 70
2018,70,M,483,En Couple,2,true,3579 SM 70
2020,62,M,1009,En Couple,1,true,2411 KT 91
2021,52,F,580,En Couple,3,true,8623 PD 28
2024,26,F,430,En Couple,3,true,9335 MR 75
2032,47,M,800,En Couple,1,true,7567 IF 34
